iter	Passed	Remaining
567	3593	2732
568	3601	2727
569	3608	2722
570	3613	2715
571	3619	2708
572	3623	2700
573	3630	2694
574	3636	2688
575	3642	2681
576	3648	2675
577	3655	2669
578	3661	2662
579	3666	2655
580	3672	2648
581	3678	2642
582	3684	2635
583	3690	2628
584	3697	2623
585	3702	2615
586	3706	2608
587	3712	2601
588	3718	2594
589	3723	2587
590	3729	2580
591	3735	2574
592	3740	2567
593	3746	2560
594	3752	2554
595	3759	2548
596	3766	2542
597	3773	2536
598	3778	2529
599	3785	2523
600	3791	2517
601	3798	2511
602	3803	2504
603	3810	2498
604	3817	2492
605	3823	2486
606	3830	2480
607	3837	2474
608	3843	2467
609	3849	2461
610	3856	2455
611	3864	2450
612	3869	2443
613	3876	2436
614	3882	2430
615	3887	2423
616	3893	2416
617	3899	2410
618	3905	2403
619	3911	2397
620	3916	2390
621	3923	2384
622	3930	2378
623	3936	2371
624	3941	2364
625	3947	2358
626	3953	2351
627	3958	2345
628	3964	2338
629	3970	2331
630	3976	2325
631	3981	2318
632	3987	2312
633	3994	2305
634	4001	2300
635	4007	2293
636	4012	2286
637	4018	2279
638	4023	2273
639	4030	2267
640	4037	2261
641	4043	2254
642	4048	2247
643	4054	2241
644	4061	2235
645	4067	2229
646	4074	2223
647	4081	2216
648	4087	2210
649	4093	2204
650	4100	2198
651	4105	2191
652	4109	2183
653	4115	2177
654	4120	2170
655	4127	2164
656	4132	2157
657	4138	2150
658	4145	2144
659	4151	2138
660	4158	2132
661	4164	2126
662	4171	2120
663	4176	2113
664	4181	2106
665	4187	2100
666	4192	2093
667	4199	2087
668	4203	2079
669	4209	2073
670	4215	2066
671	4223	2061
672	4229	2054
673	4234	2048
674	4239	2041
675	4245	2034
676	4250	2028
677	4258	2022
678	4265	2016
679	4271	2010
680	4277	2003
681	4283	1997
682	4289	1990
683	4295	1984
684	4302	1978
685	4307	1971
686	4314	1965
687	4320	1959
688	4326	1952
689	4332	1946
690	4337	1939
691	4344	1933
692	4351	1927
693	4357	1921
694	4363	1914
695	4370	1908
696	4375	1902
697	4381	1895
698	4388	1889
699	4395	1883
700	4401	1877
701	4407	1870
702	4410	1863
703	4417	1857
704	4423	1851
705	4431	1845
706	4438	1839
707	4445	1833
708	4449	1826
709	4456	1820
710	4462	1813
711	4468	1807
712	4474	1801
713	4480	1794
714	4487	1788
715	4492	1782
716	4498	1775
717	4503	1768
718	4510	1762
719	4518	1757
720	4523	1750
721	4529	1744
722	4536	1738
723	4543	1732
724	4549	1725
725	4555	1719
726	4561	1712
727	4567	1706
728	4575	1700
729	4581	1694
730	4587	1688
731	4593	1681
732	4598	1675
733	4604	1668
734	4609	1661
735	4615	1655
736	4622	1649
737	4628	1643
738	4634	1636
739	4640	1630
740	4645	1623
741	4650	1617
742	4657	1611
743	4662	1604
744	4669	1598
745	4676	1592
746	4683	1586
747	4690	1580
748	4697	1574
749	4703	1567
750	4708	1561
751	4714	1554
752	4720	1548
753	4725	1541
754	4731	1535
755	4737	1528
756	4744	1523
757	4749	1516
758	4756	1510
759	4762	1504
760	4768	1497
761	4773	1490
762	4779	1484
763	4785	1478
764	4791	1471
765	4796	1465
766	4803	1459
767	4809	1452
768	4816	1446
769	4822	1440
770	4827	1433
771	4833	1427
772	4838	1420
773	4844	1414
774	4850	1408
775	4857	1402
776	4863	1395
777	4870	1389
778	4876	1383
779	4884	1377
780	4890	1371
781	4895	1364
782	4900	1358
783	4906	1351
784	4912	1345
785	4917	1338
786	4923	1332
787	4930	1326
788	4936	1320
789	4942	1313
790	4947	1307
791	4952	1300
792	4957	1294
793	4963	1287
794	4969	1281
795	4974	1274
796	4981	1268
797	4988	1262
798	4994	1256
799	5001	1250
800	5006	1243
801	5012	1237
802	5018	1231
803	5025	1225
804	5033	1219
805	5039	1212
806	5047	1207
807	5053	1200
808	5058	1194
809	5064	1188
810	5070	1181
811	5078	1175
812	5086	1169
813	5093	1163
814	5099	1157
815	5106	1151
816	5111	1144
817	5118	1138
818	5124	1132
819	5132	1126
820	5139	1120
821	5144	1114
822	5149	1107
823	5156	1101
824	5163	1095
825	5169	1089
826	5176	1082
827	5182	1076
828	5188	1070
829	5195	1064
830	5201	1057
831	5207	1051
832	5214	1045
833	5221	1039
834	5229	1033
835	5235	1027
836	5241	1020
837	5245	1014
838	5252	1007
839	5257	1001
840	5263	995
841	5269	988
842	5276	982
843	5282	976
844	5288	970
845	5294	963
846	5299	957
847	5305	951
848	5312	944
849	5317	938
850	5323	932
851	5329	925
852	5335	919
853	5342	913
854	5350	907
855	5357	901
856	5363	894
857	5371	889
858	5376	882
859	5382	876
860	5389	870
861	5396	863
862	5402	857
863	5407	851
864	5414	845
865	5421	838
866	5427	832
867	5433	826
868	5440	820
869	5445	813
870	5450	807
871	5456	800
872	5462	794
873	5469	788
874	5475	782
875	5482	776
876	5489	769
877	5495	763
878	5502	757
879	5507	751
880	5514	744
881	5521	738
882	5528	732
883	5535	726
884	5540	720
885	5546	713
886	5552	707
887	5557	700
888	5563	694
889	5571	688
890	5578	682
891	5584	676
892	5590	669
893	5596	663
894	5603	657
895	5609	651
896	5615	644
897	5621	638
898	5627	632
899	5632	625
900	5638	619
901	5644	613
902	5650	606
903	5656	600
904	5663	594
905	5668	588
906	5672	581
907	5677	575
908	5683	568
909	5688	562
910	5693	556
911	5699	549
912	5704	543
913	5708	537
914	5712	530
915	5717	524
916	5722	517
917	5726	511
918	5732	505
919	5738	498
920	5743	492
921	5750	486
922	5756	480
923	5762	473
924	5766	467
925	5771	461
926	5777	454
927	5781	448
928	5787	442
929	5792	436
930	5798	429
931	5803	423
932	5808	417
933	5813	410
934	5817	404
935	5822	398
936	5826	391
937	5832	385
938	5836	379
939	5842	372
940	5846	366
941	5851	360
942	5856	354
943	5861	347
944	5866	341
945	5871	335
946	5876	328
947	5882	322
948	5886	316
949	5890	310
950	5895	303
951	5900	297
952	5904	291
953	5910	284
954	5914	278
955	5918	272
956	5922	266
957	5929	259
958	5934	253
959	5939	247
960	5944	241
961	5950	235
962	5954	228
963	5959	222
964	5964	216
965	5968	210
966	5973	203
967	5976	197
968	5981	191
969	5986	185
970	5989	178
971	5994	172
972	5997	166
973	6001	160
974	6006	154
975	6010	147
976	6014	141
977	6017	135
978	6022	129
979	6026	122
980	6029	116
981	6033	110
982	6035	104
983	6038	98
984	6041	92
985	6044	85
986	6047	79
987	6050	73
988	6053	67
989	6055	61
990	6058	55
991	6061	48
992	6063	42
993	6066	36
994	6069	30
995	6071	24
996	6074	18
997	6076	12
998	6078	6
999	6080	0
